team_abbr,team_id,ci_low,median,ci_high
ATL,26,1.0,2.0,6.0
BAL,3,1.0,3.0,8.0
TB,21,1.0,3.0,9.0
LAD,12,1.0,3.0,9.0
MIL,30,2.0,7.0,16.0
PHI,25,3.0,8.0,17.0
TOR,23,3.0,8.0,18.0
TEX,22,4.0,10.0,19.0
HOU,10,4.0,10.0,20.0
SEA,18,4.0,11.0,21.0
MIA,28,5.0,12.0,22.0
AZ,2,5.0,13.0,22.0
MIN,24,5.0,14.0,23.0
CHC,5,6.0,14.0,23.0
NYY,29,6.0,14.0,23.0
SD,17,6.0,15.0,23.0
CIN,6,6.0,15.0,24.0
BOS,4,8.0,18.0,25.0
SF,19,9.0,18.0,25.0
PIT,16,10.0,20.0,26.0
NYM,14,11.0,20.0,26.0
DET,9,12.0,21.0,26.0
CLE,7,13.0,23.0,27.0
LAA,1,14.0,23.0,27.0
WSH,13,14.0,23.0,27.0
STL,20,15.0,23.0,27.0
COL,8,24.0,27.0,30.0
CWS,27,25.0,28.0,30.0
KC,11,27.0,29.0,30.0
OAK,15,28.0,30.0,30.0
