team_abbr,team_id,ci_low,median,ci_high
TB,21,1.0,2.0,6.0
LAD,12,1.0,2.0,6.0
SF,19,1.0,3.0,7.0
HOU,10,1.0,4.0,10.0
TOR,23,2.0,6.0,11.0
CWS,27,2.0,6.0,12.0
BOS,4,3.0,8.0,14.0
NYY,29,4.0,9.0,15.0
MIL,30,4.0,9.0,16.0
ATL,26,4.0,9.0,16.0
OAK,15,5.0,10.0,17.0
SD,17,7.0,14.0,21.0
STL,20,7.0,14.0,22.0
CLE,7,8.0,14.0,22.0
SEA,18,9.0,16.0,23.0
CIN,6,11.0,17.0,24.0
PHI,25,11.0,17.0,24.0
NYM,14,12.0,19.0,25.0
LAA,1,12.0,19.0,26.0
COL,8,12.0,19.0,26.0
DET,9,12.0,19.0,26.0
KC,11,14.0,21.0,27.0
MIA,28,15.0,23.0,28.0
MIN,24,16.0,23.0,28.0
CHC,5,17.0,25.0,29.0
WSH,13,18.0,25.0,29.0
AZ,2,22.0,27.0,30.0
TEX,22,22.0,27.0,30.0
PIT,16,24.0,28.0,30.0
BAL,3,26.0,30.0,30.0
