team_abbr,team_id,ci_low,median,ci_high
LAD,12,1.0,2.0,5.0
ATL,26,1.0,2.0,6.0
TB,21,1.0,3.0,7.0
BAL,3,2.0,5.0,12.0
TEX,22,2.0,5.0,13.0
HOU,10,3.0,9.0,16.0
SD,17,4.0,9.0,17.0
MIN,24,4.0,9.0,17.0
SEA,18,4.0,10.0,17.0
PHI,25,4.0,10.0,17.0
TOR,23,4.0,11.0,18.0
CHC,5,4.0,11.0,18.0
MIL,30,5.0,11.0,18.0
NYY,29,6.0,13.0,21.0
BOS,4,7.0,15.0,22.0
AZ,2,7.0,15.0,22.0
NYM,14,10.0,18.0,25.0
CIN,6,12.0,19.0,25.0
CLE,7,13.0,20.0,26.0
MIA,28,13.0,20.0,26.0
SF,19,14.0,21.0,27.0
DET,9,14.0,22.0,26.0
PIT,16,15.0,22.0,27.0
STL,20,16.0,23.0,27.0
LAA,1,17.0,23.0,27.0
WSH,13,18.0,25.0,28.0
CWS,27,21.0,27.0,29.0
COL,8,25.0,28.0,30.0
KC,11,26.0,29.0,30.0
OAK,15,28.0,30.0,30.0
