team_abbr,team_id,ci_low,median,ci_high
LAD,12,1.0,2.0,6.0
HOU,10,1.0,2.0,7.0
NYY,29,1.0,4.0,11.0
WSH,13,2.0,6.0,14.0
ATL,26,2.0,7.0,14.0
OAK,15,2.0,7.0,14.0
STL,20,2.0,8.0,15.0
MIN,24,2.0,8.0,15.0
CHC,5,3.0,9.0,16.0
AZ,2,4.0,11.0,17.0
NYM,14,4.0,11.0,17.0
TB,21,4.0,11.0,17.0
MIL,30,5.0,12.0,17.0
CLE,7,5.0,12.0,18.0
BOS,4,8.0,15.0,21.0
PHI,25,8.0,15.0,21.0
CIN,6,9.0,16.0,22.0
SD,17,15.0,20.0,26.0
LAA,1,15.0,21.0,26.0
SF,19,15.0,21.0,26.0
COL,8,16.0,21.0,27.0
TEX,22,16.0,22.0,27.0
CWS,27,17.0,23.0,27.0
PIT,16,17.0,23.0,28.0
SEA,18,17.0,24.0,28.0
TOR,23,19.0,25.0,28.0
MIA,28,20.0,26.0,29.0
KC,11,21.0,27.0,29.0
BAL,3,27.0,29.0,30.0
DET,9,29.0,30.0,30.0
