team_abbr,team_id,ci_low,median,ci_high
SF,19,1.0,2.0,9.0
LAD,12,1.0,3.0,9.0
TB,21,1.0,3.0,9.0
HOU,10,1.0,5.0,12.0
BOS,4,2.0,7.0,13.0
NYY,29,2.0,7.0,14.0
TOR,23,2.0,7.0,14.0
CWS,27,2.0,8.0,14.0
SEA,18,3.0,8.0,15.0
MIL,30,3.0,10.0,17.0
OAK,15,4.0,10.0,17.0
STL,20,6.0,13.0,20.0
ATL,26,7.0,15.0,22.0
CLE,7,8.0,15.0,22.0
LAA,1,8.0,15.0,22.0
CIN,6,10.0,17.0,24.0
DET,9,10.0,17.0,24.0
SD,17,11.0,18.0,24.0
PHI,25,11.0,19.0,25.0
KC,11,11.0,19.0,25.0
MIN,24,12.0,19.0,25.0
COL,8,13.0,21.0,26.0
NYM,14,14.0,22.0,26.0
CHC,5,17.0,24.0,28.0
TEX,22,19.0,25.0,29.0
MIA,28,21.0,26.0,29.0
WSH,13,22.0,27.0,30.0
PIT,16,23.0,28.0,30.0
BAL,3,23.0,28.0,30.0
AZ,2,26.0,30.0,30.0
