team_abbr,team_id,ci_low,median,ci_high
LAD,12,1.0,1.0,9.0
SD,17,1.0,4.0,17.0
CWS,27,1.0,5.0,18.0
TB,21,1.0,6.0,19.0
CLE,7,2.0,8.0,22.0
NYY,29,2.0,9.0,22.0
MIN,24,2.0,9.0,23.0
ATL,26,2.0,11.0,24.0
OAK,15,3.0,11.0,24.0
CHC,5,3.0,11.0,25.0
TOR,23,3.0,13.0,26.0
CIN,6,4.0,14.0,26.0
SF,19,4.0,14.0,26.0
STL,20,4.0,14.0,26.0
PHI,25,4.0,16.0,27.0
AZ,2,5.0,17.0,27.0
NYM,14,5.0,17.0,28.0
HOU,10,5.0,18.0,28.0
MIA,28,6.0,18.0,29.0
WSH,13,7.0,20.0,29.0
BAL,3,8.0,20.0,29.0
MIL,30,8.0,21.0,29.0
BOS,4,8.0,21.0,30.0
COL,8,8.0,22.0,29.0
KC,11,9.0,22.0,29.0
DET,9,9.0,22.0,30.0
LAA,1,9.0,23.0,29.0
SEA,18,9.0,23.0,30.0
PIT,16,14.0,27.0,30.0
TEX,22,15.0,28.0,30.0
