team_abbr,team_id,ci_low,median,ci_high
LAD,12,1.0,2.0,10.0
TB,21,1.0,3.0,14.0
SD,17,1.0,5.0,18.0
MIN,24,1.0,7.0,20.0
CWS,27,1.0,7.0,21.0
CLE,7,2.0,8.0,21.0
OAK,15,2.0,9.0,22.0
ATL,26,2.0,9.0,22.0
NYY,29,2.0,10.0,23.0
CHC,5,2.0,11.0,24.0
TOR,23,3.0,12.0,24.0
SF,19,4.0,14.0,26.0
MIA,28,4.0,14.0,26.0
STL,20,5.0,15.0,27.0
CIN,6,5.0,16.0,27.0
MIL,30,6.0,18.0,28.0
PHI,25,6.0,19.0,28.0
HOU,10,6.0,19.0,28.0
COL,8,6.0,19.0,29.0
AZ,2,7.0,20.0,29.0
KC,11,7.0,20.0,29.0
SEA,18,8.0,21.0,29.0
BAL,3,8.0,21.0,29.0
NYM,14,8.0,22.0,29.0
LAA,1,9.0,22.0,29.0
WSH,13,9.0,22.0,29.0
DET,9,9.0,22.0,29.0
BOS,4,9.0,22.0,30.0
TEX,22,14.0,27.0,30.0
PIT,16,17.0,29.0,30.0
