team_abbr,team_id,ci_low,median,ci_high
LAD,12,1.0,1.0,2.0
HOU,10,1.0,3.0,6.0
NYY,29,2.0,3.0,7.0
NYM,14,2.0,4.0,8.0
ATL,26,2.0,5.0,9.0
TOR,23,4.0,8.0,15.0
PHI,25,4.0,9.0,17.0
TB,21,5.0,9.0,18.0
STL,20,5.0,9.0,18.0
SEA,18,6.0,11.0,19.0
SD,17,6.0,12.0,20.0
BAL,3,6.0,13.0,21.0
CLE,7,6.0,13.0,21.0
SF,19,7.0,13.0,21.0
MIL,30,8.0,15.0,22.0
BOS,4,8.0,15.0,22.0
AZ,2,8.0,16.0,23.0
TEX,22,10.0,18.0,24.0
MIN,24,10.0,18.0,24.0
LAA,1,11.0,19.0,25.0
CWS,27,12.0,20.0,25.0
MIA,28,13.0,21.0,26.0
CHC,5,14.0,22.0,27.0
COL,8,18.0,24.0,28.0
OAK,15,21.0,27.0,30.0
PIT,16,22.0,27.0,30.0
KC,11,22.0,27.0,30.0
DET,9,22.0,27.0,30.0
CIN,6,23.0,27.0,30.0
WSH,13,25.0,29.0,30.0
