team_abbr,team_id,ci_low,median,ci_high
LAD,12,1.0,2.0,7.0
HOU,10,1.0,2.0,8.0
ATL,26,1.0,5.0,12.0
NYY,29,1.0,5.0,13.0
OAK,15,2.0,6.0,14.0
WSH,13,2.0,7.0,15.0
STL,20,2.0,7.0,15.0
MIL,30,2.0,8.0,15.0
MIN,24,2.0,8.0,16.0
TB,21,3.0,10.0,17.0
NYM,14,4.0,11.0,17.0
CHC,5,6.0,12.0,19.0
CLE,7,5.0,13.0,20.0
AZ,2,6.0,13.0,20.0
PHI,25,7.0,15.0,22.0
BOS,4,9.0,16.0,23.0
SF,19,9.0,17.0,23.0
CIN,6,12.0,19.0,25.0
TEX,22,12.0,20.0,25.0
COL,8,13.0,20.0,25.0
SD,17,14.0,21.0,26.0
PIT,16,14.0,21.0,26.0
LAA,1,15.0,22.0,27.0
CWS,27,16.0,23.0,27.0
SEA,18,18.0,24.0,28.0
TOR,23,19.0,25.0,28.0
MIA,28,22.0,27.0,29.0
KC,11,23.0,27.0,29.0
BAL,3,27.0,29.0,30.0
DET,9,28.0,30.0,30.0
