team_abbr,team_id,ci_low,median,ci_high
NYY,29,1.0,3.0,12.0
MIL,30,1.0,4.0,12.0
LAD,12,1.0,5.0,14.0
BAL,3,1.0,5.0,14.0
PHI,25,1.0,5.0,15.0
ATL,26,1.0,7.0,16.0
HOU,10,1.0,7.0,17.0
CLE,7,2.0,8.0,18.0
SD,17,2.0,9.0,18.0
AZ,2,2.0,10.0,19.0
KC,11,3.0,11.0,20.0
SEA,18,4.0,12.0,21.0
NYM,14,4.0,13.0,21.0
CHC,5,5.0,14.0,22.0
DET,9,6.0,15.0,23.0
CIN,6,6.0,15.0,23.0
SF,19,8.0,17.0,24.0
MIN,24,8.0,18.0,25.0
BOS,4,8.0,18.0,25.0
TOR,23,11.0,20.0,25.0
STL,20,11.0,20.0,25.0
TB,21,12.0,20.0,26.0
PIT,16,13.0,22.0,26.0
TEX,22,16.0,24.0,27.0
WSH,13,17.0,24.0,27.0
OAK,15,20.0,25.0,28.0
LAA,1,24.0,27.0,29.0
MIA,28,25.0,28.0,29.0
COL,8,26.0,29.0,30.0
CWS,27,29.0,30.0,30.0
